Ruta,OperadOR,route,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,year,decade
EEUU,US Aerial Mail Service,Sin_Dato,Douglas,1,0,1,1,0,1,0,1927,2
Germany,Deutsche Lufthansa,Charleville - Tambo - Blackall,Fokker,2,1,1,2,1,1,0,1927,2
Others,Varney Air Lines,Sin_Dato,Others,1,0,1,1,0,1,0,1927,2
Others,Qantas,Charleville - Tambo - Blackall,Havilland,3,2,1,3,2,1,0,1927,2
Others,Grands Express Aeriens,Casablanca - Oran,Breguet 14,1,0,1,1,0,1,0,1927,2
EEUU,Colonial Air Transport,Sin_Dato,Fokker,1,0,1,1,0,1,0,1927,2
Others,Aeropostale,Marseille - Palma de Majorca,Latecoere 32,3,Sin_Dato,3,1,0,1,0,1928,3
France,Air Union,Paris - Lyon - Marseille,Others,2,1,1,1,0,1,0,1928,3
Others,Others,Great Falls - Pocatello - Salt Lake City,Fokker,7,6,1,7,6,1,0,1928,3
Others,Aeropostale,Casablanca - Alicante - Barcelona - Perpignan - Toulouse,Breguet 14,3,2,1,3,2,1,0,1928,3
Germany,Deutsche Lufthansa,Sin_Dato,Fokker,3,2,1,3,2,1,0,1928,3
EEUU,Universal Airlines,Cleveland - Chicago,Others,3,2,1,3,2,1,0,1928,3
EEUU,National Air Transport,Sin_Dato,Douglas,1,0,1,1,0,1,0,1928,3
EEUU,Continental Air Lines,Cleveland - Louisville,Travel Air 4000,1,0,1,1,0,1,0,1928,3
EEUU,Others,Colfax - Spokane,Ford Tri-motor 4,5,3,2,5,3,2,0,1928,3
EEUU,Others,San Antonio - Amarillo - Tulsa - Denver,Ford 4-AT-B Tri Motor,5,4,1,5,4,1,0,1928,3
Brazil,Syndicato Condor,Sightseeing,Dornier Wal,14,9,5,14,9,5,0,1928,3
Germany,Deutsche Lufthansa,Cologne -  Berlin,Junkers,4,1,3,3,0,3,0,1928,3
EEUU,National Air Transport,Cleveland - Chicago,Douglas,1,0,1,1,0,1,0,1928,3
EEUU,Others,Sin_Dato,Fairchild FC-2,4,3,1,4,3,1,0,1928,3
France,CIDNA,Strasbourg - Paris,Others,3,2,1,2,2,0,0,1928,3
Others,Qantas,Adelaide - Longreach,Havilland,2,0,2,1,0,1,0,1928,3
EEUU,National Air Transport,Sin_Dato,Douglas,1,0,1,1,0,1,0,1928,3
France,CIDNA,Toul - Clermont-Ferrand,Others,5,2,3,5,2,3,0,1928,3
Canada,Others,Victoria - Seattle,Ford 4-AT-B Tri Motor,7,5,2,7,5,2,0,1928,3
Others,KLM Royal Dutch Airlines,Sightseeing over Rotterdam,Fokker,6,5,1,1,1,0,0,1928,3
EEUU,Colonial Western Airlines,Minola - Albany - Buffalo,Fairchild FC-2,3,1,2,3,1,2,0,1928,3
Others,Aeropostale,Buenos Aires - Montevideo,Latecoere 25,2,0,2,2,0,2,0,1928,3
Others,Aeropostale,Toulouse - Perpignan - Alicante - Casablanca - Dakar,Breguet 14,1,0,1,1,0,1,0,1928,3
Others,Aeropostale,Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,2,0,2,2,0,2,0,1928,3
Others,Boeing Air Transport,Sin_Dato,Boeing,2,1,1,1,1,0,0,1928,3
France,Air Union,Paris - Croydon,Farman F-60 Goliath,2,0,2,2,0,2,0,1928,3
EEUU,Boeing Air Transport,Sin_Dato,Boeing,2,1,1,1,1,0,0,1928,3
Others,Aeropostale,Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,1,0,1,1,0,1,0,1928,3
Brazil,Aeropostale,Sin_Dato,Latecoere 26,5,3,2,1,1,0,0,1928,3
Others,Others,Dearborn - Buffalo,Others,2,0,2,2,0,2,0,1928,3
Germany,Deutsche Lufthansa,Essen - Dortmund - Frankfurt,Junkers,5,4,1,3,2,1,0,1928,3
Germany,Deutsche Lufthansa,Sin_Dato,Others,5,4,1,5,4,1,0,1928,3
Others,National Air Transport,Chicago - Dallas,Douglas,1,0,1,1,0,1,0,1928,3
Others,Aero O-Y,Tallinn - Helsinki,Junkers,6,4,2,6,4,2,0,1928,3
England,Imperial Airways,Testing,Vickers,6,5,1,4,4,0,0,1928,3
Others,Iberia Airlines,Barcelona - Madrid,Others,9,7,2,9,7,2,0,1928,3
Italy,Imperial Airways,Naples - Genoa,Others,7,5,2,7,5,2,0,1929,3
Others,Imperial Airways,"London, England - India",Havilland,5,2,3,3,1,2,0,1929,3
Others,Aeropostale,"Toulouse, France - Casablanca, Morocco",Latecoere 25,6,4,2,6,4,2,0,1929,3
Canada,Skyways,Sightseeing,Travel Air 6000,6,5,1,6,5,1,0,1929,3
EEUU,Colonial Air Transport,Sin_Dato,Pitcairn PA-6 Mailwing,1,0,1,1,0,1,0,1929,3
Others,Aeropostale,Toulouse - Perpignan - Barcelona - Alicante - Casablanca,Others,5,3,2,5,3,2,0,1929,3
EEUU,Others,Tijuana - Nogales,Fairchild 71,2,0,2,1,0,1,0,1929,3
EEUU,Continental Air Lines,Cleveland - Louisville,Stearman C-38,1,0,1,1,0,1,0,1929,3
EEUU,Trans Continental Air Transport,Demonistration,Others,5,3,2,5,3,2,0,1929,3
Mexico,Others,Matamoros - Mexico City - Juarez,Lockheed,4,3,1,4,3,1,0,1929,3
